model,checkpoint_path,task,split,selection_protocol,metric_name,score,n_samples,seed,script,git_commit,notes
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_obj_bg/pcpmae/pcpmae_obj_bg_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_bg,heldout_selection,top1,92.77108311653137,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_obj_bg/pcpmae/pcpmae_obj_bg_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_bg,heldout_selection,top2_hit,97.9345977306366,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_obj_bg/pcpmae/pcpmae_obj_bg_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_bg,heldout_selection,top5_hit,99.48365092277527,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_bg/ckpt-best-95.53.pth,scanobjectnn,obj_bg,official_checkpoint,top1,94.49225664138794,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_bg/ckpt-best-95.53.pth,scanobjectnn,obj_bg,official_checkpoint,top2_hit,97.7624773979187,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_bg/ckpt-best-95.53.pth,scanobjectnn,obj_bg,official_checkpoint,top5_hit,99.65576529502869,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_obj_only/pcpmae/pcpmae_obj_only_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_only,heldout_selection,top1,92.25473403930664,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_obj_only/pcpmae/pcpmae_obj_only_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_only,heldout_selection,top2_hit,97.24612832069397,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_obj_only/pcpmae/pcpmae_obj_only_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_only,heldout_selection,top5_hit,99.13941621780396,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_only/ckpt-best-93.97-ckpt-300-finetune.pth,scanobjectnn,obj_only,official_checkpoint,top1,93.28743815422058,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_only/ckpt-best-93.97-ckpt-300-finetune.pth,scanobjectnn,obj_only,official_checkpoint,top2_hit,96.72977328300476,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/obj_only/ckpt-best-93.97-ckpt-300-finetune.pth,scanobjectnn,obj_only,official_checkpoint,top5_hit,99.31153059005737,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_pb_t50_rs/pcpmae/pcpmae_pb_t50_rs_heldout_seed2026/ckpt-best.pth,scanobjectnn,pb_t50_rs,heldout_selection,top1,88.86190056800842,2882,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_pb_t50_rs/pcpmae/pcpmae_pb_t50_rs_heldout_seed2026/ckpt-best.pth,scanobjectnn,pb_t50_rs,heldout_selection,top2_hit,95.7321286201477,2882,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/heldout_experiments/pcpmae/heldout_pb_t50_rs/pcpmae/pcpmae_pb_t50_rs_heldout_seed2026/ckpt-best.pth,scanobjectnn,pb_t50_rs,heldout_selection,top5_hit,98.85495901107788,2882,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/pb_t50_rs/ckpt-best-90.35.pth,scanobjectnn,pb_t50_rs,official_checkpoint,top1,89.52116370201111,2882,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/pb_t50_rs/ckpt-best-90.35.pth,scanobjectnn,pb_t50_rs,official_checkpoint,top2_hit,96.21790647506714,2882,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pcpmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pcpmae/pb_t50_rs/ckpt-best-90.35.pth,scanobjectnn,pb_t50_rs,official_checkpoint,top5_hit,99.06315207481384,2882,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_obj_bg/pointmae/pointmae_obj_bg_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_bg,heldout_selection,top1,85.88640093803406,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_obj_bg/pointmae/pointmae_obj_bg_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_bg,heldout_selection,top2_hit,94.49225664138794,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_obj_bg/pointmae/pointmae_obj_bg_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_bg,heldout_selection,top5_hit,98.96729588508606,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pointmae/scan_objonly.pth,scanobjectnn,obj_bg,official_checkpoint,top1,89.32874202728271,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pointmae/scan_objonly.pth,scanobjectnn,obj_bg,official_checkpoint,top2_hit,95.5249547958374,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pointmae/scan_objonly.pth,scanobjectnn,obj_bg,official_checkpoint,top5_hit,99.13941621780396,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_obj_only/pointmae/pointmae_obj_only_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_only,heldout_selection,top1,86.40275597572327,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_obj_only/pointmae/pointmae_obj_only_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_only,heldout_selection,top2_hit,94.32013630867004,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/work/pointmae_heldout/experiments/heldout_obj_only/pointmae/pointmae_obj_only_heldout_seed2026/ckpt-best.pth,scanobjectnn,obj_only,heldout_selection,top5_hit,98.27883243560791,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
pointmae,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/results/object_ssl_pointmae_pcpmae/checkpoints/pointmae/scan_objbg.pth,scanobjectnn,obj_only,official_checkpoint,top1,86.74699068069458,581,2026,/mnt/urashima/users/minesawa/home-offload/ssl/3D-NEPA/scripts/object_ssl/eval_scanobjectnn_mae.py,3dcf4b6a299e59744adcc064c5fa5d4b2b703187,"structured_keep drops a local anchor neighborhood by retaining farthest points, matching existing PointGPT support-stress protocol; input-level FPS is skipped when the H5 point count already equals npoints."
